RID,rname,cuisine
4108,Jai Mataji Tea And Nasta Center,Snacks
4109,Raipur Bhajipav Center,"Fast Food,Snacks"
4110,Biryani Hazir Ho,"Biryani,Mughlai"
4111,Only Home Delivery,"North Indian,Chinese"
4112,Kamal Sweets,"Sweets,Snacks"
4113,Food Costa,"Chinese,Beverages"
4114,Jay Bhavani Vadapav,Snacks
4115,The Black Olive,"Pizzas,Continental"
4116,Mirch Masala,Indian
4117,SS King,South Indian
4118,La Jawab Fast Food,"Fast Food,Arabian"
4119,Juice My Day,Beverages
4120,William John'S Pizza,Pizzas
4121,Hotel Zk,"Indian,Chinese"
4122,Mom'S Kitchen,"Chinese,North Indian"
4123,Amdos Kitchen,"Tibetan,Chinese"
4124,Alif Sandburg,Snacks
4125,Pradeep Vadapav,"Fast Food,Snacks"
4126,Chatode Online Eatery,Indian
4127,Sankalp,"South Indian,Beverages"
4128,Jayhind Sweets,Sweets
4129,Bombay Gulalwadi Chinese Food,Chinese
4130,Lijjat Foods,"Indian,Fast Food"
4131,Kgfc Restaurant,"Fast Food,Snacks"
4132,Purohit Restaurant,"Indian,Chinese"
4133,Nikka Punjab,Punjabi
4134,Annapurna Idli Corner,South Indian
4135,Subway,Continental
4136,Hotel Sher E Punjab,Indian
4137,Food Corner,"North Indian,Fast Food"
4138,Silver Leaf - Cama Hotel,"Indian,Chinese"
4139,Balaji Pakodi Center,Chaat
4140,Ali Baba Chai N Snacks,Fast Food
4141,Bhanvar Bhagirath And Sans,"Snacks,Indian"
4142,Bhimsing Bhaji Pav,"Street Food,Snacks"
4143,K.S Omlet Center,"Snacks,Indian"
4144,Sheetal'S Kitchen,"North Indian,Biryani"
4145,SP Chinese And Punjabi,"Chinese,Snacks"
4146,R.j ka chinese chatkara,Chinese
4147,Khichdi Paradise,"Indian,Desserts"
4148,Masala Kitchen,"Indian,Chinese"
4149,Shreeji Pani Puri,"Street Food,Snacks"
4150,Miami Waffles & Jawbreakers,"Waffle,Desserts"
4151,Dusk Restaurant,"North Indian,South Indian"
4152,K.A.'S PAKODEEZ,"Chaat,Snacks"
4153,Chhipa juice and fastfood corner,"Fast Food,Street Food"
4154,Recharge For Hunger,Continental
4155,Trippy Pav Cafe,"Snacks,Beverages"
4156,Sanskari Paratha,"Beverages,Indian"
4157,Arabian Hub,Indian
4158,ZEEL FAST FOOD,"Fast Food,Snacks"
4159,Jalaram,North Indian
4160,Zaverivad Farsan House,Snacks
4161,Real Paprika Express Outlet,"Fast Food,Italian"
4162,Mr.Cake,Bakery
4163,The Buddy'S Burger Adda,"Fast Food,Snacks"
4164,Kutchhi Nagri Khaman House,"Indian,Snacks"
4165,look@momos,Chinese
4166,Al Arsh The Taste Of Emirates,"Indian,Kebabs"
4167,New A1 Bombay Bhatiyara,"Biryani,Beverages"
4168,Shree Ganesha Dosa,South Indian
4169,Mumbai On Plate,Snacks
4170,Rasila Fast Food,"Chinese,Tandoor"
4171,Mummy's Yummy Mealbox,"North Indian,Combo"
4172,Gulab Panipuri,Indian
4173,Hotel Raj Palace,"North Indian,Indian"
4174,Jai Shree Mahakali Idli Dosa,"Street Food,Indian"
4175,The Chef Take Away,"Fast Food,Snacks"
4176,Aksha Shik Paratha,"North Indian,Chinese"
4177,Oven Story Pizza,Pizzas
4178,Behrouz Biryani,"Biryani,Mughlai"
4179,Chirag The Sandwich House,"Fast Food,Snacks"
4180,Fresh Mart,Ice Cream
4181,Vipul Dudhiya Sweets,Sweets
4182,Frankie Corner,"Fast Food,Snacks"
4183,Momo Guy,"Tibetan,Asian"
4184,Theka,Beverages
4185,Jay Arbuda Food Point,"Pizzas,Street Food"
4186,Bismillah,"Ice Cream,Desserts"
4187,Momo King,Chinese
4188,Huber & Holly,"Desserts,Ice Cream"
4189,NiNi's Late Night Kitchen,"Snacks,Indian"
4190,Papa Louie's Pizza,"Pizzas,Pastas"
4191,Gayatri Bhaji Pav And  Pulav Centre (Sohanlal Sahp,"Chinese,Indian"
4192,Yummy Fast Food Corner,"Fast Food,Snacks"
4193,Cakes N Bakes,"Desserts,Bakery"
4194,I.M Idliman,Indian
4195,Farki,"Sweets,Desserts"
4196,Kota Kachori,"Desserts,Beverages"
4197,Rp'S Pizzeria,"Pizzas,Italian"
4198,Tushar Foods,"South Indian,Snacks"
4199,Ghee Gud,"Rajasthani,Combo"
4200,Radhika Bhojnalaya,"North Indian,Chinese"
4201,Bhimsingh Paties,"Snacks,Street Food"
4202,Dil Se Punjab,"Thalis,Indian"
4203,Green Dot Pizza,"Pizzas,Italian"
4204,LunchBox - Meals and Thalis,"North Indian,Punjabi"
4205,McDonald's Gourmet Burger Collection,"Burgers,Beverages"
4206,Sweet Truth - Cake and Desserts,"Ice Cream,Bakery"
4207,Foodiez Hub,Fast Food
4208,Firangi Bake,"Italian,Mexican"
4209,Puffizza,North Indian
4210,Faasos - Wraps & Rolls,"Fast Food,Snacks"
4211,Iqbal Hotel,"Indian,Chinese"
4212,Lucky Amlet Center,"Indian,South Indian"
4213,Rk Omlet Center,"Snacks,North Indian"
4214,Manna Foods,Indian
4215,Panda Momos,"Tibetan,Asian"
4216,Mr.momo,Chinese
4217,"Shere Punjab Food	Corner","Chinese,Indian"
4218,Ronak Restaurant,Indian
4219,Sainath Sandwich & Pizza,"Pizzas,Continental"
4220,Live Cake Company,Desserts
4221,Baskin Robbins,"Desserts,Ice Cream"
4222,Z.K. Fry Center,North Indian
4223,Starboy Pizza & Shakes,"Pizzas,Italian"
4224,Shakeat,"Indian,Desserts"
4225,MBM Vadapav,"Fast Food,Snacks"
4226,Hotel Kalinga Lake View,"Burgers,Fast Food"
4227,New Ansari Hotel,"Afghani,Indian"
4228,Winner Pizzas (Fresh Dough),"Pizzas,Italian"
4229,JV s Chaat Junction,"Chaat,Fast Food"
4230,Pure Eatery Food,"Fast Food,Indian"
4231,Manila Restaurant,"Indian,South Indian"
4232,La Co'S Pizza,Pizzas
4233,Kolhapuri Misal Pav,"Maharashtrian,South Indian"
4234,Havmor Havfunn ice cream,"Ice Cream,Ice Cream Cakes"
4235,7 STAR ROOFTOP CAFE,Beverages
4236,Anni'S Kitchen,"North Indian,Indian"
4237,Rt Momos And More,"Chinese,Snacks"
4238,Khana Per Kg,"North Indian,Chinese"
4239,Jalaram Khaman House,Street Food
4240,Savoury Restaurant,"North Indian,Chinese"
4241,Sher-E-Punjab Dhaba,"Punjabi,Indian"
4242,Ice Tea Junction,"Beverages,Fast Food"
4243,Tomato'S,"Mexican,North Indian"
4244,Desi Thath Garden Restaurant,North Indian
4245,Desi Thath Gardern Restaurant,"North Indian,Chinese"
4246,Kurry Karamat,"Indian,Chinese"
4247,Sam's Pizza,"Pizzas,Fast Food"
4248,House Of Chatora,Snacks
4249,The Brooklyn Creamery - Healthy Ice Cream,"Desserts,Ice Cream"
4250,Chaiops,"Beverages,Fast Food"
4251,AAMANTRAN SWEET NAMKEEN & FARSHAN,"Sweets,Snacks"
4252,McCafe by McDonald's,"American,Beverages"
4253,Miami Shakes & More,"Beverages,Bakery"
4254,Chaiops - Shreeji Enterperises,"Beverages,Fast Food"
4255,Behrouz Biryani,"Biryani,Mughlai"
4256,Sweet Truth - Cake and Desserts,"Bakery,Desserts"
4257,Faasos - Wraps & Rolls,"Fast Food,Snacks"
4258,Aagrah,"Gujarati,Indian"
4259,Lakhiya Fast Food,South Indian
4260,TGB Cafe'n Bakery,"Bakery,Desserts"
4261,Khichdi Tales,"Indian,North Indian"
4262,Chahat Egg World,Mughlai
4263,Foodish Daily Chaska,Indian
4264,Jay Bhawani Vadapav,"Street Food,Fast Food"
4265,Home Made Chicken,Indian
4266,Biryani Adda,"North Indian,Biryani"
4267,William John's Pizza,"Italian,Pizzas"
4268,Papa Louie'S Pizza,"Pizzas,Pastas"
4269,Chai Sutta Bar,Burgers
4270,Sugarless Life,"Bakery,Fast Food"
4271,Punjab Food Way,"North Indian,Indian"
4272,Lassi Ghar,"Beverages,Juices"
4273,Rs 49 To Rs 99,Chinese
4274,Next Door Kitchen,"North Indian,Thalis"
4275,Sai Krishna Foods,"South Indian,Snacks"
4276,Roll It Up,"Chinese,Thalis"
4277,Kekiz -The Cake Shop,"Bakery,Desserts"
4278,New Freeze Land,"Cafe,American"
4279,Tummy Fillers,"Italian,Beverages"
4280,Hocco Eatery,Ice Cream
4281,Natural Ice Cream,Ice Cream
4282,Yashu's Homely Food,"Snacks,South Indian"
4283,Langos & More,"Fast Food,Snacks"
4284,The Lunch N Dinner,"Punjabi,Gujarati"
4285,Chingaaree,"Indian,Chinese"
4286,The Tiffin Zone,"Gujarati,Chinese"
4287,Samosazz - The Fun Triangle,"Snacks,Chinese"
4288,Raju Omlet,"Fast Food,Snacks"
4289,Chandnee Chowk,"Fast Food,Pastas"
4290,Gwalia Sweets & Fast Food,"Sweets,North Indian"
4291,Eat Punjab,"Indian,Combo"
4292,Healthy Bites,"Fast Food,Snacks"
4293,Roasted Beans,Beverages
4294,Kayastana Ghar Pe,"Indian,Biryani"
4295,We Desi Fry Center,"Fast Food,Indian"
4296,New York Waffles & Dinges,"Waffle,Beverages"
4297,Handcrafted Grills,"Fast Food,Italian"
4298,Foodistan,"North Indian,Indian"
4299,Singh'S Snacks Express,"Snacks,Fast Food"
4300,Faasos' Signature Wraps & Rolls,"Snacks,Beverages"
4301,Nanka's Kitchen,Fast Food
4302,Kurtosshhh,"Beverages,Snacks"
4303,The Almighty Biryani,"Biryani,Mughlai"
4304,Non Veg King,Indian
4305,Vaibhav Fast Food,"Fast Food,Snacks"
4306,Jay Ambe Bhajipav And Pulav,"Fast Food,Snacks"
4307,Chinese Adda,"Chinese,Street Food"
4308,Libra Manchurian House,Chinese
4309,Smile Chinese & Punjabi,Biryani
4310,Meenis Kitchen,"North Indian,Snacks"
4311,Gaytri Vegitable Natural Soup And Juice Center,Street Food
4312,Ishwar Maggi And Pasta,"Snacks,Continental"
4313,Organic   Meal   Box,"South Indian,Thalis"
4314,Whatta Waffle,"Beverages,Desserts"
4315,The Golden BBQ,"Indian,North Indian"
4316,Urban Foods,"Chinese,Gujarati"
4317,Bhookh Lagi Hai?,Indian
4318,P R Punjabi Parotha House,Punjabi
4319,Burglars,"Chinese,Italian"
4320,Punjabi Food Junction,"Indian,Chinese"
4321,Hungry Puppet,"North Indian,Beverages"
4322,The Food Story,"Italian,Fast Food"
4323,The House Cafe,Beverages
4324,Madness of Maharaja's,"Thalis,North Indian"
4325,Cia Chinese In Ahmedabad,Chinese
4326,Kebabs And Biryani,"North Indian,Kebabs"
4327,Tandoor N Tadka,"Biryani,Indian"
4328,Tea Post,"Beverages,Snacks"
4329,Masala County,"North Indian,Biryani"
4330,Desi Street,"Snacks,North Indian"
4331,Kaffee - Mast Hai,"Beverages,Desserts"
4332,Sanskari Biryani,"Biryani,North Indian"
4333,Mehfil Biryani By Zakir Khan,"Biryani,Mughlai"
4334,K3'S Foods (Authentic Kerala Food),South Indian
4335,Singh'S Shahi Rasoi,"North Indian,Chinese"
4336,SGD Food Park,"Indian,Chinese"
4337,ANOSH KITCHEN,"North Indian,Chinese"
4338,Zupadi Kitchen,"South Indian,North Indian"
4339,Fauji Dhaba,"North Indian,Gujarati"
4340,Baked Madness,"North Indian,Bakery"
4341,Hastag Momos,"Chinese,Fast Food"
4342,Lucky Fast Food,"North Indian,Chinese"
4343,Bako The Restaurant,"North Indian,Chinese"
4344,The Belgian Waffle Co.,"Desserts,Beverages"
4345,Dosto Ki Yaari,"Italian,Continental"
4346,La Pino'Z Pizza,"Pizzas,Pastas"
4347,The Bombaywala Cakes,Bakery
4348,pomo's pizza,"Pizzas,Italian"
4349,Mateshwari Restaurant,Indian
4350,Chandkheda Fry Center,"Indian,Tandoor"
4351,Sardar Foods,North Indian
4352,A Milky Way Cakes,Bakery
4353,Das Khaman,"Sweets,Snacks"
4354,Mealbox,"North Indian,Chinese"
4355,Polra Kitchen,"Indian,Chinese"
4356,The Shake Maker,Beverages
4357,The Fusion Pizza ( Motera),"Italian,Pizzas"
4358,Karnavati Dabeli,"Indian,North Indian"
4359,Stone Baked Pizza,"Pizzas,Snacks"
4360,PVR Cafe,"Snacks,Fast Food"
4361,Foody Adda,"Fast Food,Italian"
4362,Mainlane 13,"North Indian,Indian"
4363,Monginis Cake Shop (Ioc Road),"Bakery,Desserts"
4364,Shree Karnavati Fast Food,"Street Food,Italian"
4365,Hari Om Kathiyawadi,"North Indian,Punjabi"
4366,Dev'S Kitchen,"Thalis,North Indian"
4367,Mitti K Rang,Indian
4368,Rajwadi Dhaba,Indian
4369,House Of Cheese,Pizzas
4370,Baroda Sandwich,"Fast Food,Snacks"
4371,Bhagwati Khana Khajana,Indian
4372,Roti  Boti,"Chinese,Indian"
4373,Ghar kI Sabji Roti,"North Indian,Snacks"
4374,Pizza Hut,Pizzas
4375,Vipul Dudhiya Sweets,"Sweets,Snacks"
4376,Mangal Murti Dhaba,Indian
4377,Waffles 2 Waffles,Waffle
4378,Fun Point,"North Indian,Chinese"
4379,Dangee Dums,"Desserts,Bakery"
4380,Temptt Restaurant,"Combo,Salads"
4381,Sher-E-Punjab,Chinese
4382,Foodish,"Pizzas,Italian-American"
4383,Pavman,North Indian
4384,LunchBox - Meals and Thalis,"North Indian,Punjabi"
4385,Kwality Walls Frozen Dessert and Ice Cream Shop,"Desserts,Ice Cream"
4386,Divine Dine,"North Indian,Chinese"
4387,Kanha Snacks Bar And Restaurant,North Indian
4388,The Lajawab Tawa Fry,"Biryani,North Indian"
4389,Mysore Express,South Indian
4390,Farki,"Desserts,Beverages"
4391,Chaat Nawabi,"Chaat,South Indian"
4392,Ps Food,"Maharashtrian,Street Food"
4393,Delis Food Factory,"Snacks,Fast Food"
4394,Chow Mein,"Chinese,North Indian"
4395,Rps Pizzeria,Pizzas
4396,Shree Annapurna,North Indian
4397,KFC,"American,Snacks"
4398,Vadilal Ice Creams,"Ice Cream,Desserts"
4399,Tea Post,"Fast Food,Snacks"
4400,Tasteez Food,Indian
4401,Chaikafi,"Fast Food,North Indian"
4402,Jai Sainath Frankie,"Fast Food,Snacks"
4403,Nini'S Kitchen,"North Indian,Italian"
4404,Laxmi Parotha House,"Indian,Gujarati"
4405,Sankalp,"Beverages,South Indian"
4406,Pizzagram Chandkheda,"Italian,American"
4407,Swag Wala Swad,"Beverages,Snacks"
4408,Shakti - The Sandwich Shop,"Pizzas,Snacks"
4409,Jay Ambe Fast Food And Restaurant,"Indian,Chinese"
4410,Tanisi'S Chai Ghar,"Fast Food,Snacks"
4411,Praful Sweets And Namkeen,"Sweets,Snacks"
4412,Chandni Restaurant,"North Indian,Indian"
4413,The Chocolate Room,"Desserts,Italian"
4414,Chinese Town,Chinese
4415,ROYAL CAFE,"Indian,Snacks"
4416,Gujjus Tiffin Point,Indian
4417,Gokul Kathiyawadi Garden Restaurant,"North Indian,Indian"
4418,Kameshwari Lodhrana Khaman House,Snacks
4419,Maja Aa Gaya,"Indian,Chinese"
4420,Big Pizza,"Pizzas,Italian"
4421,South End Corner,"South Indian,Chinese"
4422,Dosa Kart,South Indian
4423,Sizzling Shihai,"Japanese,Thai"
4424,Raj The Biryani House,"Biryani,North Indian"
4425,148 Pizza World,"Pizzas,Snacks"
4426,Test Of Spice,"North Indian,South Indian"
4427,Smoodies & Juices: Yours Fruitfully,"Beverages,Snacks"
4428,Non Veg Express,"Indian,Chinese"
4429,Madras Cafe - The Taste Of Town,South Indian
4430,Thali Master,"Thalis,North Indian"
4431,South Cafe The Taste Of Ahmedabad,South Indian
4432,Burger Burger Burger,"Burgers,Beverages"
4433,Milan Restaurant,"North Indian,Indian"
4434,Pavaka organic,Juices
4435,Burger N Bites,"Fast Food,Chinese"
4436,Khichdi Etc.,"North Indian,Gujarati"
4437,Ms Food,Fast Food
4438,Golden Biryani,"Biryani,Punjabi"
4439,Mc Oliver'S Pizza,"Pizzas,Fast Food"
4440,Taste The Best. The Test Of New Generation.,"Indian,Biryani"
4441,Subway,"Fast Food,Healthy Food"
4442,Molly Moo Ice Creams,"Ice Cream,Snacks"
4443,One Ten Restaurant,North Indian
4444,JainamG Crispy Handmade Khakhra,"Snacks,Gujarati"
4445,Village Inn,"Chinese,Indian"
4446,Rajputana Rassoi,"North Indian,Biryani"
4447,Bittu Di Kitchen,"North Indian,Snacks"
4448,With Us,"North Indian,Chaat"
4449,Saffron Restaurant,"North Indian,Chinese"
4450,Pizza Zone,"Pizzas,Italian"
4451,Juice My Day,"Beverages,Juices"
4452,Jay Brahmani Fast Food,"Fast Food,Pizzas"
4453,JainamG PET PUJA,"North Indian,Thalis"
4454,Aatithya Food Court,"Chinese,South Indian"
4455,Amul Shahi Ragda Patis,Snacks
4456,Rg Panjab Spice,"North Indian,Chinese"
4457,Manohar Cholafali Center,"Snacks,Beverages"
4458,Oven & Grill,"Pizzas,Pastas"
4459,Live Cake Company,Bakery
4460,Father Of Food,"Chaat,Street Food"
4461,McDonald's,"Burgers,Beverages"
4462,Shere Punjab,"Punjabi,Indian"
4463,Wawa Fastorant And Bakery Shop,"Bakery,Snacks"
4464,What A Sandwich,North Indian
4465,Laxmi Poha And Paratha House,Indian
4466,London Yard Pizza,"Pizzas,Italian"
4467,Legends Of Punjab,"Indian,Punjabi"
4468,Tipsy Cafe And Restaurant,"Street Food,Chinese"
4469,Udupi,"South Indian,Combo"
4470,Shanti Restaurant,"Indian,Chinese"
4471,Lovely Food,Chinese
4472,Sarvottam Banquet And Restaurant,"North Indian,Chinese"
4473,Jyoti Ice Cream parlour,Ice Cream
4474,The Biryani Life,"Biryani,Hyderabadi"
4475,Vishwakarma Dosa,South Indian
4476,Biryani Hazri Ho,"Biryani,Mughlai"
4477,South Dosa Corner,South Indian
4478,Sankalp Restaurant,South Indian
4479,Wakka Makka Chinese,"Chinese,Asian"
4480,Davis Pizza,Italian
4481,Happinezz Ice Creams by Vadilal,"Ice Cream,Beverages"
4482,Biryani Villa,"Indian,Biryani"
4483,Rasoi Ghar Restaurant,"Gujarati,Indian"
4484,Gopee's Kitchen,"Fast Food,Beverages"
4485,Veg Express,"North Indian,Biryani"
4486,Brewich,"North Indian,Continental"
4487,Raj Bhog,North Indian
4488,Golden Eat Fast Food,"Fast Food,Snacks"
4489,Jaydeep Khana Khazana,"North Indian,Indian"
4490,Kolkata Taste,Sweets
4491,Black One,Bakery
4492,Qtb Barbecue,Indian
4493,Ek One Uno Pizza Classick,"Pizzas,Mexican"
4494,Mainlane 2 Chinese And Punjabi,"North Indian,Chinese"
4495,China In A Box,Chinese
4496,Bombay Chinese Food,"Chinese,Snacks"
4497,South Express,South Indian
4498,Apsara Ice Creams,"Ice Cream,Desserts"
4499,Dosaji,"Chinese,Indian"
4500,La Milano Pizzeria,"Italian,Pizzas"
4501,The Hungry Nomad,"Italian,Mexican"
4502,UBQ by Barbeque Nation,"North Indian,Barbecue"
4503,Barbeque Nation,"North Indian,Barbecue"
4504,0620 Kitchen,"Pizzas,Continental"
4505,Monginis - New Cg Road,Bakery
4506,Shree Marutinandan,"Chinese,Indian"
4507,creativTEA,"Snacks,Fast Food"
4508,JUGAADI ADDA,Snacks
4509,Hariom Kathiyawad,"Gujarati,Chinese"
4510,Thali Central,"Thalis,Fast Food"
4511,Neha'S Kitchen,"North Indian,Chinese"
4512,Baked By Ninis,"Bakery,Snacks"
4513,Bakers & Shakers,Desserts
4514,Hero Sandwiches,Fast Food
4515,Bn Parotha House,North Indian
4516,Char Bhujari Nasta House,"Snacks,South Indian"
4517,Gujrat Fry Center,"North Indian,Chinese"
4518,SLAY Coffee,"Beverages,Desserts"
4519,Reet Fast Food,"Snacks,Fast Food"
4520,Jenny's Brownies,"Bakery,Desserts"
4521,Navrang Ice Cream Parlour,Ice Cream
4522,Frankie Station,Indian
4523,Wack Waffles & Brownies,"Waffle,Desserts"
4524,Shivani Food Court,"Chinese,Snacks"
4525,Shree brahmani khanan house,"Gujarati,Sweets"
4526,Tasty Treats,"North Indian,South Indian"
4527,The Wrap Co.,"Fast Food,Desserts"
4528,Swad The Food Corner,"Indian,Gujarati"
4529,Jeet coffee bar & Snacks,"Beverages,Pizzas"
4530,Gwalbhog,"Sweets,North Indian"
4531,Marky Momos,"Chinese,Continental"
4532,Mocacabana,"Beverages,Continental"
4533,Om Food Center,"Gujarati,North Indian"
4534,Sheetal,"Fast Food,Street Food"
4535,Anna Dosa Point,South Indian
4536,Raja Babu Non Veg Tawa And Fry,Indian
4537,Dhanlaxmi Southindian Fast Food,"Street Food,South Indian"
4538,Shree Krishna Gathiya,Gujarati
4539,Prem mewad ice cream,"Ice Cream,Beverages"
4540,City Corner,"North Indian,Indian"
4541,Hungry Birds,"North Indian,Chinese"
4542,The Good Bowl,"North Indian,Punjabi"
4543,Hashtag Restaurant,"North Indian,Continental"
4544,The Juice Box,"Juices,Beverages"
4545,Combo Only,"Thalis,North Indian"
4546,WoW China,"Chinese,Pizzas"
4547,MBA In Khichdi,"Home Food,Healthy Food"
4548,Standard's Punjabi Khana,"Thalis,Gujarati"
4549,Frienzzo Panipuri And Chaat,"Chaat,North Indian"
4550,Punjabi Food On Way,"North Indian,Chinese"
4551,Aayppa idly centar,South Indian
4552,Nishachar,"North Indian,Indian"
4553,Kabir Restaurant,Indian
4554,Magic Pancakes,"Bakery,Beverages"
4555,Miami Waffles & Jawbreakers,"Waffle,Beverages"
4556,Makhni Brothers,"North Indian,Kebabs"
4557,The Belgian'S Waffles,Bakery
4558,Chowmein,North Indian
4559,Thali Express,"South Indian,Chaat"
4560,Chatore,"Fast Food,Snacks"
4561,Farmerz,Beverages
4562,The Egg Eatery Eggstremely Delicious,"Mughlai,Biryani"
4563,East Pizza Co.,"Pizzas,Pastas"
4564,Eat Well,"Fast Food,Pizzas"
4565,A1 Bombay Biryani Bhatiyara,"Biryani,North Indian"
4566,The Shree Balaji Food Ponit,Chinese
4567,Burger King,American
4568,S N Blu- The Food Library,"Indian,Beverages"
4569,Bihari Samosa Center,Snacks
4570,Karnavati Snacks,North Indian
4571,SHREE BALAJI KITCHEN,"South Indian,North Indian"
4572,Spice Affair -Hotel German Palace,"North Indian,Chinese"
4573,Badmash Biryani,"Beverages,Desserts"
4574,The Indian Cart,Snacks
4575,Pure Veg Meals by Lunchbox,"North Indian,Desserts"
4576,Khichdi Paradise,"Healthy Food,Beverages"
4577,Aryan Fast Food,"North Indian,Chinese"
4578,Devnarayan Farali Khichdi,Snacks
4579,NIC Natural Ice Creams,"Ice Cream,Desserts"
4580,Raju Omlet Centre,Arabian
4581,Grameen Kulfi,"Ice Cream,Desserts"
4582,Swaminarayan dining hall,"Indian,Thalis"
4583,Prachi Cafe House,Indian
4584,Bhayankar Burgers,"American,Fast Food"
4585,The Shree Balaji Food Point,"Chinese,Snacks"
4586,Drink Eat Fun,"Pizzas,Desserts"
4587,Rg Chinese Wok,"Oriental,Thai"
4588,Jain Dairy,"Desserts,Beverages"
4589,"Guddu's ice cream, shakes and more","Fast Food,Snacks"
4590,Bite By Bite,"Fast Food,Snacks"
4591,Mirch Masala,"North Indian,Punjabi"
4592,Homeland Chataka,"Snacks,Fast Food"
4593,Panch Phoran,"North Indian,Chinese"
4594,Firangi Bake,"Italian,Mexican"
4595,Charbhuja Sandwich and Pizza,"Fast Food,Pizzas"
4596,Shreeji Khana Khazana,North Indian
4597,Baskin Robbins,"Desserts,Ice Cream"
4598,Danny'S Coffee Bar,"Fast Food,Pizzas"
4599,Frankies And Fries,Continental
4600,The Cloud,"Indian,Chinese"
4601,Egg Adda,Indian
4602,Panda Momos,"Chinese,Fast Food"
4603,Testy Khaman,"Indian,Snacks"
4604,Hao Chi,"Chinese,Pan-Asian"
4605,Shivas Coffee Bar And Snacks,"Pizzas,Pastas"
4606,McDonald's Gourmet Burger Collection,"Burgers,Beverages"
4607,Sahi Suraj Singh,Chinese
4608,Meals101,"Asian,North Indian"
4609,EL Cibo,"Beverages,Snacks"
4610,Maa Ki Khichdi,"Home Food,Beverages"
4611,Punjabi Chulha,"Indian,Chinese"
4612,The Food Heist,North Indian
4613,Oven Story Pizza,Pizzas
4614,Momo Guy,"Chinese,Fast Food"
4615,Malabar Restaurant,"North Indian,Chinese"
4616,Estrella De Mar,"Beverages,Pizzas"
4617,Shakes And Lemonades,"Beverages,Ice Cream"
4618,Noodles Bar Family Restaurant,Chinese
4619,Kwality Walls Frozen Dessert and Ice Cream Shop,"Ice Cream,Desserts"
4620,A 1 Chinese Center,Chinese
4621,Hotel pragati,"Biryani,Maharashtrian"
4622,Punjabi Hut,Street Food
4623,REAL CHINESE HOTEL,Chinese
4624,Zopadi Canteen,"North Indian,South Indian"
4625,Hotel Relax Veg Non Veg,"Chinese,Biryani"
4626,Asha Bhel,North Indian
4627,FRIENDS CHINESE,"Chinese,Snacks"
4628,Smokey Woods Cafe,Italian
4629,Hotel Suvarnam Tatva,"Indian,Beverages"
4630,Shri Sai Chinese,Chinese
4631,Thapar's The Cake Shop- Burudgaon,Desserts
4632,Hotel Vijay,"Biryani,Mughlai"
4633,Chinese Food Corner,Chinese
4634,Chowpati Natural Kulfi,Desserts
4635,HOTEL PUNJAB,"North Indian,Tandoor"
4636,Cafe Katta,"Fast Food,Waffle"
4637,Hotel Paradise,Mughlai
4638,BOMBAY GRILLS & CAFE,"Fast Food,Chinese"
4639,Natural Ice Cream,Ice Cream
4640,Chitale Xpress,"Sweets,Snacks"
4641,Ahmednagar foodies cafe,"Fast Food,Pizzas"
4642,Hot spot Chinese fast food,Chinese
4643,Nagari Swad,"Snacks,Chinese"
4644,City Popcorn Center,Snacks
4645,Cafe BFF,"Snacks,Desserts"
4646,NAMASTEY IDLY,"South Indian,North Indian"
4647,The Belgian Waffle Co.,"Desserts,Beverages"
4648,Bansi Maharaj,"Sweets,Snacks"
4649,Chitale Ice Cream,Ice Cream
4650,Karachiwala Bakery,Bakery
4651,Food O Meter,"Fast Food,Snacks"
4652,Deccan Fruit Juice And Breakfast Center,Chinese
4653,The Famous Pavbhaji & Pulav,"Fast Food,Pizzas"
4654,DC CAFE,"Ice Cream,Beverages"
4655,Rio La Cafe,"Beverages,Fast Food"
4656,shinde chinese corner,Chinese
4657,Waffle Town,"Fast Food,Pizzas"
4658,Shinde Biryani House,"Biryani,Snacks"
4659,Kabir Cakes And Bakers,Bakery
4660,Shri KABIR cakes and Bakers,Bakery
4661,Matoshri Bhojnalay,"Indian,Thalis"
4662,OM SAIRAJ SANDWICH,"Fast Food,Snacks"
4663,Pandharis Misal House,"South Indian,Snacks"
4664,Moms Kitchen,"Indian,Snacks"
4665,ROKADE SWEETS,"Sweets,Snacks"
4666,Shivshakti Pav Bhaji,"Indian,Snacks"
4667,hotel jay bajrang,"Snacks,Street Food"
4668,Rokade fast food,Snacks
4669,HAPPY CHINESE RESTAURANT,Chinese
4670,BHOLES ROLLS & CAFE,Lebanese
4671,THUBE JUNCTION(DREAM CAFE),Snacks
4672,Hotel Meghnand,"Beverages,Chinese"
4673,Aura Cafe,North Indian
4674,THE COTTAGE BAKERS AND CAKE SHOP,"Bakery,Snacks"
4675,SHIVAM SWEETS AND FARSAN,"Sweets,Snacks"
4676,Cindrella Park,"Indian,Chinese"
4677,Naadbramha Idli,South Indian
4678,Hotel Vijay's Tandoor Special,Indian
4679,New Delhi Chaap,North Indian
4680,DELIGHT  CORNER,"Ice Cream,Desserts"
4681,AHMEDNAGAR ZAIKA FAMILY RESTAURANT,"Snacks,Biryani"
4682,Trisha bakers and cake shop,Bakery
4683,N T KARACHIWALA BEKARY,"Bakery,Desserts"
4684,Darbar Caterer,North Indian
4685,SHRI SWAMI NASHTA CENTER,"South Indian,Snacks"
4686,SHRI SWAMI SNACKS,"Snacks,South Indian"
4687,Foodie Pirates,"Italian-American,Fast Food"
