RID,rname,cuisine
225,Chef Corner,"Indian,Chinese"
226,Brunch Italiano,"Bakery,Desserts"
227,AB Palace,"Chinese,Indian"
228,Mathura Mistan Bhandar,"Sweets,Snacks"
229,Bs Bakery & Cafe,"Bakery,Desserts"
230,MUMBAI CHAT,Chaat
231,Pizzapuram,"Pizzas,Italian"
232,SURESH SOUTH INDIAN KITCHEN,South Indian
233,Gopal Dosa,South Indian
234,Apna Adda,"Chinese,Snacks"
235,Aryan Maggi Stall,"Fast Food,Pastas"
236,Babu Moshai,"Indian,Chinese"
237,Junction Restaurant,"Indian,Biryani"
238,Mintelaa,"Chinese,Indian"
239,The Bihari  Resturant,"North Indian,Snacks"
240,DELIGHT FOOD CORNER,Chinese
241,Delhi Darbar (Sakchi ),"Chinese,Biryani"
242,Shyam Store,"Indian,Chinese"
243,The Hungry Bird,"North Indian,Chinese"
244,FOODILICIOUS,Indian
245,The Kannelite,"Indian,Snacks"
246,Manohar Chat,"Chinese,Chaat"
247,Dosa Hut,"South Indian,Chinese"
248,Cook'S Corner,"Chinese,Indian"
249,Chicago Pizza,"Pizzas,Pastas"
250,New Chappan Bhog - Sakchi,"Sweets,Snacks"
251,Laziz Pizza,"Pizzas,Beverages"
252,SAKCHI MISTAN BHANDAR,"Sweets,Snacks"
253,BIKKGANE BIRYANI,"Biryani,Hyderabadi"
254,Campus Adda,"Chinese,Biryani"
255,NEW KOLKATA ARSALAN BIRYANI,"Biryani,Fast Food"
256,Pizza Campus,"Fast Food,Pizzas"
257,Deep Delighted Kitchen,"Chinese,Snacks"
258,Biryani By Kilo,"Biryani,Hyderabadi"
259,American Waffle House,"Waffle,Ice Cream"
260,Chai Sutta Bar,"Beverages,Fast Food"
261,New Dolphin Bakery,Bakery
262,Lakhi Egg Roll & Caterer,"Chinese,Indian"
263,The White Rose,"Indian,Chinese"
264,The Belgian Waffle Co.,"Beverages,Desserts"
265,Saffron,"Indian,Chinese"
266,Brunch Italiano (sakchi),Bakery
267,Uttar Dakshin,"Indian,Chinese"
268,SAGAR RESTAURANT,"Indian,Chinese"
269,Silver Spoon,Indian
270,Pappu Hotel,"Biryani,Chinese"
271,Shreshtham,"Snacks,Sweets"
272,Royal Max - Sakchi,"Bakery,Pizzas"
273,The Biryani Boxx,"Biryani,Beverages"
274,CAKE PLANET,"Bakery,Desserts"
275,BIRYANI BADSHAH,"Biryani,Hyderabadi"
276,Tinkoniya Hotel,"Snacks,Sweets"
277,Pappu Restaurant,"Indian,Biryani"
278,Jalsa Restaurant,"Bengali,Indian"
279,Brother's Chaap and Dhaba,"North Indian,Snacks"
280,A2B  Anirams Aahar Bhavan,"South Indian,Chinese"
281,THE HUNGER OUT,"North Indian,South Indian"
282,Brother's Dhaba,"North Indian,Thalis"
283,Kathi Junction,"Snacks,Indian"
284,COZY CORNER,"Indian,Chinese"
285,Shawarma 83,"Arabian,Lebanese"
286,The Dugout,"Indian,Chinese"
287,J K Residency,"Indian,Continental"
288,MEALS @ ONE,"Combo,Indian"
289,Kebabs & Curry,"Indian,Chinese"
290,NABJIBAN KULFI,"Ice Cream,Pizzas"
291,Brewers cafe,Chinese
292,PARATHA EXPRESS,Indian
293,PUJA SWEETS SAKCHI,Sweets
294,Truly Publik,"Chinese,Continental"
295,Unplugged Restaurant,"North Indian,Tandoor"
296,HAVELI,"Chinese,South Indian"
297,ZAAFFRAN RESTAURANT,"Biryani,Indian"
298,CRAZY PAKODA,Snacks
299,Lounge And Sky Dining,"North Indian,Chinese"
300,Momo Square,"Tibetan,Nepalese"
301,SAI REGENCY,"Indian,Biryani"
302,Wok Tok Asia,Chinese
303,Jiva Hotel,"North Indian,Chinese"
304,T Matter,"Beverages,Fast Food"
305,Ice Cream Conection,"Beverages,Desserts"
306,Nani's Homemade Chocolates,Desserts
307,Lalaji,Indian
308,Galaxy Sweet & Snacks,"Chinese,Snacks"
309,BAKING LOVE BY ANITA,Bakery
310,THAALI WALA (Pure Veg Thali),"Thalis,Indian"
311,Aqua Fumes,"Chinese,Beverages"
312,The Food Bowl,"Chinese,Continental"
313,Mad Jack Continental & South Indian,"Indian,South Indian"
314,3 Peg Restro & Bar,"Indian,Chinese"
315,Retro Garden,"Chinese,North Indian"
316,BURGER BUDDY,"Burgers,Street Food"
317,Biryani King,"Biryani,North Indian"
318,Happier,"South Indian,North Indian"
319,DynaBite,"North Indian,South Indian"
320,"Frozen Bottle - Milkshakes, Desserts And Ice Cream","Beverages,Desserts"
321,Kavya Momos,"Street Food,Chinese"
322,The Sandwich Co,"Snacks,Beverages"
323,Biryani Blooms,"Biryani,Chinese"
324,VADILAL ICE CREAMS,Ice Cream
325,Fusion Restaurant,"North Indian,Chinese"
326,The Height 18,"Indian,Chinese"
327,The Villa (Malgudi Station),"South Indian,Desserts"
328,CHEERS PARATHA,"North Indian,Chinese"
329,The Bun Factory,"Snacks,Beverages"
330,Coffee House,"Beverages,Snacks"
331,Ande Ka Funda,Snacks
332,Dosa Cafe (Hotel Ganga Regency),South Indian
333,Hotel Ganga Regency,"Indian,Chinese"
334,BASANT PARCEL,"North Indian,Chinese"
335,MURARI BHOJANALAY,Indian
336,PIZZA 99,"Pizzas,Burgers"
337,New Gangour Sweets (sakchi),"Sweets,Snacks"
338,WOK (Hotel Ganga Regency),"Chinese,Continental"
339,The Horizon Eatery,"Chinese,Mughlai"
340,AM 2 PM  Foods,"Indian,North Indian"
